,modelo,km,color,precio,year
186,Model 3,57000.0,blanco,28990.0,2021
187,Model 3,63000.0,azul,25990.0,2022
188,Model S,233000.0,rojo,21990.0,2014
189,Model S,98000.0,marron,25990.0,2015
190,Model S,107000.0,gris,44900.0,2018
191,Model Y,51900.0,blanco,41900.0,2022
192,Model X,54500.0,negro,59900.0,2019
193,Model S,39000.0,rojo,38900.0,2019
194,Model S,188000.0,blanco,24550.0,2015
195,Model 3,43000.0,azul,37000.0,2021
196,Model 3,55000.0,blanco,35950.0,2023
